Symbol,Company_name,Price,Change_abs,Change_rel,Volume,Avg_vol_3M,Market_cap,PE_ratio_TTM,Wk_change_rel
SMMT,Summit Therapeutics Inc.,10.415,0.24,0.023,1886000.000,4184000.000,7311000000.000,27.41,4.8511
RNA,"Avidity Biosciences, Inc.",41.27,3.30,0.074,1504000.000,1567000.000,4448000000.000,0,3.6791
ASTS,"AST SpaceMobile, Inc.",18.51,1.93,0.0944,9676000.000,13039000.000,4984000000.000,0,3.2164
VKTX,"Viking Therapeutics, Inc.",53.05,1.60,0.0293,3516000.000,3937000.000,5878000000.000,0,3.1739
MSTR,MicroStrategy Incorporated,1447.99,63.82,0.0422,1403000.000,1290000.00,27609000000.000,0,2.9048
DYN,"Dyne Therapeutics, Inc.",40.83,1.25,0.0297,762428,1243000.000,4061000000.000,0,2.532
ANF,Abercrombie & Fitch Co.,132.2,10.07,0.0708,1816000.000,1782000.000,6756000000.000,16.44,2.3511
INSM,Insmed Incorporated,71.81,3.52,0.0467,1846000.000,3579000.000,11714000000.000,0,2.2835
JANX,"Janux Therapeutics, Inc.",38.76,2.70,0.0651,587772,763912,2010000000.00,0,2.2139
CVNA,Carvana Co.,137.2,9.32,0.0636,5332000.000,4470000.00,16045000000.000,55.10,2.0618
FTAI,FTAI Aviation Ltd.,101.96,6.96,0.0639,1631000.000,1211000.000,10421000000.000,0,1.9131
ADMA,"ADMA Biologics, Inc.",11.69,0.57,0.0461,3435000.000,3340000.00,2710000000.00,0,1.8237
CRNX,"Crinetics Pharmaceuticals, Inc.",49.79,2.28,0.0438,659988,941777,3926000000.000,0,1.7661
ZETA,Zeta Global Holdings Corp.,23.01,0.98,0.0409,5744000.000,3115000.000,5061000000.000,0,1.7328
CLSK,"CleanSpark, Inc.",13.48,1.61,0.1067,37499000.000,30780000.00,3072000000.000,103.69,1.6431
SFM,"Sprouts Farmers Market, Inc.",97.67,3.09,0.0307,1477000.000,1381000.000,9780000000.00,30.71,1.5575
IBRX,"ImmunityBio, Inc.",4.68,0.1100,0.023,3372000.000,3716000.000,3237000000.000,0,1.5297
VST,Vistra Corp.,72.43,3.61,0.0475,9360000.00,9097000.000,25167000000.000,44.44,1.5237
FNMA,Federal National Mortgage Association,1.13,0.1300,0.1032,2710000.00,3067000.000,1309000000.000,0,1.5111
MOR,MorphoSys AG,18.96,0.45,0.0243,18347,110635,2856000000.000,0,1.5079
SN,"SharkNinja, Inc.",75.29,0.98,0.0128,1500000.0,1138000.000,10536000000.000,55.77,1.5013
MMYT,MakeMyTrip Limited,84.89,4.60,0.0514,937947,774795,9319000000.000,48.23,1.499
IESC,"IES Holdings, Inc.",154.96,10.34,0.0715,311945,166672,3096000000.000,18.25,1.4014
RSI,"Rush Street Interactive, Inc.",10.13,0.64,0.0594,2572000.000,1928000.000,2315000000.000,0,1.4005
FMCC,Federal Home Loan Mortgage Corporation,1.08,0.0800,0.069,1443000.000,1875000.000,702065000.000,0,1.40
COIN,"Coinbase Global, Inc.",204.44,8.20,0.0386,9951000.000,8376000.000,50799000000.000,36.38,1.3783
HWKN,"Hawkins, Inc.",121.25,0.12,0.001,211273,125291,2535000000.000,31.49,1.3709
NVDA,NVIDIA Corporation,107.27,1.94,0.0178,475692000.000,373606000.000,2639000000000.000,62.73,1.3619
