Symbol,Company_name,Price,Change_abs,Change_rel,Volume,Avg_vol_3M,Market_cap,PE_ratio_TTM,Wk_change_rel
TNDM,"Tandem Diabetes Care, Inc.",41.67,6.46,0.1835,4603000.000,1675000.000,2728000000.000,0,0.3835
DNB,"Dun & Bradstreet Holdings, Inc.",11.82,1.53,0.1487,19700000.0,3930000.00,5222000000.000,0,0.0225
RARE,Ultragenyx Pharmaceutical Inc.,50.47,6.32,0.1431,2666000.000,888646,4571000000.000,0,0.3965
BFAM,Bright Horizons Family Solutions Inc.,135.15,16.72,0.1412,1596000.000,356314,7839000000.000,77.67,0.4625
RKT,"Rocket Companies, Inc.",17.25,1.89,0.123,11318000.000,2770000.00,34281000000.000,9.57,0.4896
TWLO,Twilio Inc.,62.86,6.59,0.1171,8070000.00,2566000.000,10095000000.000,0,0.0206
MELI,"MercadoLibre, Inc.",1776.14,170.08,0.1059,925193,320598,90046000000.000,64.49,0.3071
ICFI,"ICF International, Inc.",160.41,14.39,0.0985,223880,120875,3009000000.000,30.85,0.2368
RYAN,"Ryan Specialty Holdings, Inc.",68.57,6.06,0.0969,2266000.000,1085000.000,17948000000.000,107.14,0.5472
FLYW,Flywire Corporation,18.96,1.63,0.0941,4708000.000,1577000.000,2355000000.000,0,-0.4325
DASH,"DoorDash, Inc.",117.23,9.03,0.0835,12661000.000,4274000.000,48245000000.000,0,0.3896
UWMC,UWM Holdings Corporation,8.81,0.66,0.081,3572000.000,1408000.000,14075000000.000,110.13,0.288
CNK,"Cinemark Holdings, Inc.",24.85,1.76,0.0762,8461000.000,3008000.000,3041000000.000,24.13,0.3752
CLX,The Clorox Company,144.09,9.95,0.0742,2902000.000,1244000.000,17894000000.000,64.04,-0.12
DJT,Trump Media & Technology Group Corp.,29.21,2.01,0.0739,6901000.000,7383000.000,5548000000.000,0,0.8931
IESC,"IES Holdings, Inc.",154.96,10.34,0.0715,311945,166672,3096000000.000,18.25,1.4014
GDDY,GoDaddy Inc.,151.25,9.84,0.0696,2274000.000,1849000.000,21322000000.000,12.59,1.1345
NET,"Cloudflare, Inc.",79.46,5.06,0.068,10310000.00,3123000.000,27152000000.000,0,0.1721
PCTY,Paylocity Holding Corporation,158.09,9.86,0.0665,1054000.000,577622,8785000000.000,43.43,-0.241
DJTWW,Trump Media & Technology Group Corp.,19,1.10,0.0615,93140,344641,5554000000.000,0,-0.2025
MKTX,MarketAxess Holdings Inc.,234.63,13.41,0.0606,663690,427990,8892000000.000,34.50,-0.0399
MMSI,"Merit Medical Systems, Inc.",88.74,4.62,0.0549,1040000.00,396911,5165000000.000,44.15,0.2444
RNG,"RingCentral, Inc.",35.26,1.81,0.0541,3146000.000,1265000.000,3250000000.00,0,-0.0954
TIGO,Millicom International Cellular S.A.,25.93,1.32,0.0536,277569,139851,4441000000.000,2593.00,0.5811
CNMD,CONMED Corporation,68.67,3.33,0.051,725019,445604,2117000000.000,21.87,-0.3976
ALAB,"Astera Labs, Inc.",42.38,1.93,0.0477,3050000.00,1731000.000,6599000000.000,0,-0.3168
CBOE,"Cboe Global Markets, Inc.",193.785,8.03,0.0433,1424000.000,752106,20277000000.000,26.80,0.3247
DORM,"Dorman Products, Inc.",102.84,4.26,0.0432,213261,133250,3144000000.000,18.84,0.1428
OHI,"Omega Healthcare Investors, Inc.",38.26,1.56,0.0425,3287000.000,1620000.00,10149000000.000,28.98,0.1956
RMD,ResMed Inc.,223.64,9.08,0.0423,2455000.000,1049000.000,32854000000.000,32.36,0.1981
EXLS,"ExlService Holdings, Inc.",34.03,1.35,0.0413,1723000.000,984217,5493000000.000,31.51,0.2219
FND,"Floor & Decor Holdings, Inc.",97.89,3.75,0.0398,4633000.000,1665000.000,10490000000.00,50.46,-0.058
PSA,Public Storage,311.9,11.82,0.0394,1200000.0,694682,54588000000.000,29.23,0.1021
HBCYF,HSBC Holdings plc,8.46,0.30,0.0368,1000,16595,156489000000.000,7.29,0.0255
ASAI,Sendas Distribuidora S.A.,8.9,0.30,0.0349,322277,269143,2402000000.000,19.35,-0.375
MDLZ,"Mondelez International, Inc.",70.68,2.37,0.0347,10031000.000,6244000.000,94414000000.000,24.29,-0.0482
BUD,Anheuser-Busch InBev SA/NV,63.38,2.12,0.0346,1952000.000,1478000.000,120245000000.000,21.86,0.123
HLN,Haleon plc,9.63,0.30,0.0322,6975000.000,4873000.000,43922000000.000,32.10,0.1505
ALKS,Alkermes plc,27.72,0.86,0.032,2251000.000,1921000.000,4565000000.000,12.16,-0.0125
EXR,Extra Space Storage Inc.,164.95,5.09,0.0318,1446000.000,937417,36398000000.000,45.07,0.2582
INSP,"Inspire Medical Systems, Inc.",149.63,4.52,0.0311,1039000.000,704537,4446000000.000,0,-0.4364
ATMU,Atmus Filtration Technologies Inc.,30.91,0.93,0.031,2114000.000,1157000.000,2577000000.000,14.86,0.3659
CWST,"Casella Waste Systems, Inc.",105.46,3.17,0.031,680149,322166,6128000000.000,310.18,0.3164
ELS,"Equity LifeStyle Properties, Inc.",72.52,2.12,0.0301,1897000.000,1189000.000,14187000000.000,37.77,0.0339
ATHM,Autohome Inc.,23.68,0.69,0.03,587625,536796,2868000000.000,11.01,-0.2383
