Symbol,Company_name,Price,Change_abs,Change_rel,Volume,Avg_vol_3M,Market_cap,PE_ratio_TTM,Wk_change_rel
LTMAY,LATAM Airlines Group S.A.,24.5,0,0,9862000.000,289829,7404000000.000,0,-0.9831
NYCB,"New York Community Bancorp, Inc.",9.91,0.05,0.0051,8897000.000,6119000.000,3482000000.000,0,-0.7544
NIO,NIO Inc.,4.05,0.0100,0.0025,38971000.000,48004000.000,8494000000.000,0,-0.7267
ALTM,Arcadium Lithium plc,2.86,0.1800,0.0592,19545000.000,9886000.000,3075000000.000,6.50,-0.6973
AGL,"agilon health, inc.",6.34,0.23,0.035,5584000.000,4482000.000,2607000000.000,0,-0.6852
TXG,"10x Genomics, Inc.",19.24,0.44,0.0224,1824000.000,1791000.000,2303000000.000,0,-0.6546
FIVE,"Five Below, Inc.",69.19,0.83,0.0119,1489000.000,1884000.000,3810000000.00,13.03,-0.6464
VFS,VinFast Auto Ltd.,3.91,0.0100,0.0026,696149,2353000.000,9142000000.000,0,-0.6258
CAR,"Avis Budget Group, Inc.",84.44,10.06,0.1065,1126000.000,573358,3010000000.00,2.71,-0.6236
U,Unity Software Inc.,15.32,0.03,0.002,12764000.000,9395000.000,5988000000.000,0,-0.6165
WBA,"Walgreens Boots Alliance, Inc.",11.48,0.33,0.0279,14258000.000,18826000.000,9910000000.00,0,-0.6158
MLCO,Melco Resorts & Entertainment Limited,5.15,0.15,0.0283,5242000.000,2858000.000,2251000000.000,0,-0.6054
XPEV,XPeng Inc.,7.56,0.07,0.0092,7773000.000,12350000.00,7122000000.000,0,-0.5957
MBLY,Mobileye Global Inc.,15.96,0.32,0.0197,11209000.000,4220000.00,12870000000.00,0,-0.5888
LI,Li Auto Inc.,19.2,0.17,0.0088,4236000.000,7414000.000,20371000000.000,12.89,-0.5884
BILL,"BILL Holdings, Inc.",46.77,1.37,0.0285,2271000.000,1625000.000,4964000000.000,0,-0.5831
LU,Lufax Holding Ltd,2.7,0.0200,0.0075,1095000.000,4157000.000,2356000000.000,0,-0.5807
QXO,"QXO, Inc.",11.99,0.36,0.0291,3448000.000,612936,4909000000.000,0,-0.573
ALB,Albemarle Corporation,86.99,6.18,0.0663,5433000.000,2853000.000,10224000000.000,0,-0.5579
SYM,Symbotic Inc.,23.7,0.91,0.037,3137000.000,1542000.000,13878000000.000,0,-0.5484
UPST,"Upstart Holdings, Inc.",23.76,1.64,0.0646,5169000.000,5418000.000,2088000000.000,0,-0.5428
XNYIF,Xinyi Solar Holdings Limited,0.4747,0,0,20000,928,4230000000.00,6.78,-0.5369
NWWDF,New World Development Company Limited,1.07,0,0,50000,13711,2693000000.000,17.83,-0.5348
MPW,"Medical Properties Trust, Inc.",4.71,0.0800,0.0173,12609000.000,15591000.000,2826000000.000,0,-0.5337
NVST,Envista Holdings Corporation,16.66,0.27,0.0159,2712000.000,2426000.000,2863000000.000,0,-0.5233
LSCC,Lattice Semiconductor Corporation,45.08,3.37,0.0696,4593000.000,2400000.0,6211000000.000,33.15,-0.5162
LCID,"Lucid Group, Inc.",3.12,0.1500,0.0459,29219000.000,30800000.0,7198000000.000,0,-0.5133
PYCR,"Paycor HCM, Inc.",11.97,0.18,0.0148,875800,1290000.00,2133000000.000,0,-0.5094
AFLYY,Air France-KLM SA,0.81,0.0112,0.0136,29429,48462,2247000000.000,0,-0.5091
FIVN,"Five9, Inc.",40.77,2.11,0.0492,1362000.000,1265000.000,3012000000.000,0,-0.5007
QDEL,QuidelOrtho Corporation,42.01,0.01,0.0002,1682000.000,1221000.000,2825000000.000,0,-0.4993
