Symbol,Company_name,Price,Change_abs,Change_rel,Volume,Avg_vol_3M,Market_cap,PE_ratio_TTM,Wk_change_rel
NVDA,NVIDIA Corporation,107.27,1.94,0.0178,475692000.000,373606000.000,2639000000000.000,62.73,1.3619
INTC,Intel Corporation,21.48,7.57,0.2606,296704000.000,52010000.00,91848000000.000,89.50,-0.3903
AMZN,"Amazon.com, Inc.",167.9,16.17,0.0878,137413000.000,41891000.000,1762000000000.000,39.98,0.1806
SNAP,Snap Inc.,9.36,3.45,0.2693,105179000.000,21867000.000,15533000000.000,0,-0.1145
F,Ford Motor Company,10.03,0.66,0.0617,109540000.00,54559000.000,39872000000.000,10.45,-0.2249
AAPL,Apple Inc.,219.86,1.50,0.0069,98084000.000,65593000.000,3343000000000.000,33.46,0.2293
TSLA,"Tesla, Inc.",207.67,9.19,0.0424,81020000.00,95650000.00,663431000000.000,58.50,-0.1741
AMD,"Advanced Micro Devices, Inc.",132.5,0.04,0.0003,78333000.000,53338000.000,214449000000.000,159.64,0.1343
SOFI,"SoFi Technologies, Inc.",6.65,0.51,0.0712,62509000.000,37454000.000,7083000000.000,0,-0.2918
NU,Nu Holdings Ltd.,10.92,0.60,0.0521,60145000.000,27948000.000,52299000000.000,42.00,0.3929
BAC,Bank of America Corporation,37.58,1.92,0.0486,58896000.000,37447000.000,291605000000.000,13.19,0.1788
PLTR,Palantir Technologies Inc.,24.74,1.34,0.0514,54343000.000,45224000.000,55094000000.000,206.17,0.3752
LUMN,"Lumen Technologies, Inc.",3.07,0.2500,0.0753,50800000.0,16968000.000,3116000000.000,0,0.7644
AAL,American Airlines Group Inc.,9.63,0.51,0.0503,48028000.000,36175000.000,6324000000.000,0,-0.3977
SWN,Southwestern Energy Company,6.1,0.23,0.0363,44943000.000,17122000.000,6728000000.000,0,-0.0687
CCL,Carnival Corporation & plc,14.8,0.96,0.0609,44267000.000,30230000.00,19390000000.00,20.85,-0.1796
NIO,NIO Inc.,4.05,0.0100,0.0025,38971000.000,48004000.000,8494000000.000,0,-0.7267
