target,id,date,flag,user,text
0,2014190367,Wed Jun 03 00:44:04 PDT 2009,NO_QUERY,Misscharchar,my stomach hurts from eating white cheddar popcorn  damn studio munchies
0,2014537054,Wed Jun 03 01:51:53 PDT 2009,NO_QUERY,lauamos,the only person liz gets chatted up by is jon so leave my alex turner alone  :@ 
4,2063951604,Sun Jun 07 04:42:16 PDT 2009,NO_QUERY,rinnietjoe,Facing examination week! Wish me luck people! 
4,1993795544,Mon Jun 01 10:56:40 PDT 2009,NO_QUERY,RandallW89,&quot;Follow me u guys.....Twitter.com/RandallW89 tell a friend to tell a friend.. please n thanks!&quot; 
0,2232297779,Thu Jun 18 19:43:15 PDT 2009,NO_QUERY,gijanepms,/sigh I seriously hate not having school.. Im so bored.. Gears can only entertain me for so long.. 
0,2177698909,Mon Jun 15 06:33:14 PDT 2009,NO_QUERY,Tingi,"@Nikky.. yeah, I miss you guys, too.. "
0,2255112428,Sat Jun 20 10:46:39 PDT 2009,NO_QUERY,innocentyouth,"I felt like I almost had no time for myself today, except for some internet browsing this morning  But I did a lot on my project, so yay."
4,1559387310,Sun Apr 19 11:00:27 PDT 2009,NO_QUERY,TheRatRaceRebel,@nationwideclass Among other things @CharlesGraham is a man of many talents   Loves the out doors
4,1990588515,Mon Jun 01 05:15:40 PDT 2009,NO_QUERY,IrideAyellowBik,only 40 minutes left.im stoked 
0,2215534265,Wed Jun 17 18:16:17 PDT 2009,NO_QUERY,tat2dcoyote,@gitsiemonster no    i'm in one show now and i won't have time for another before the fall semester.
4,1685367928,Sun May 03 00:05:21 PDT 2009,NO_QUERY,loveZAHEER,back to playing fifa09  ciao
0,2285391542,Mon Jun 22 15:04:22 PDT 2009,NO_QUERY,xxxSarah5xxx,finally just saw Forest gump for the first time ever!!! Think im gonna cry 
0,1960159686,Fri May 29 07:31:08 PDT 2009,NO_QUERY,TheHappySchizo,"Duuuude, Tim said that they're making a Red vs Blue animated series! It'll be either on Adult Swim or G4. I hope AS, coz I don't have G4! "
0,2298715157,Tue Jun 23 12:01:27 PDT 2009,NO_QUERY,kourtneylush,About to head to the mall. I wish Jon could talk 
0,1686634514,Sun May 03 06:13:09 PDT 2009,NO_QUERY,YOvanessa,wow the suns out  but i'm stuck inside revising.. urgh.. cereal time!
4,2018042304,Wed Jun 03 09:20:45 PDT 2009,NO_QUERY,JoanneDuran,"@abacab1975 Oh, I'm just fannying about my flat listening to Elton John "
0,2237530582,Fri Jun 19 05:57:23 PDT 2009,NO_QUERY,smacula,@amyshell awwwww 
4,2186108760,Mon Jun 15 18:22:05 PDT 2009,NO_QUERY,YaGottaBKiddnMe,"@TheRopolitans good luck, dude!  you'll be awesome "
4,2064336692,Sun Jun 07 05:59:00 PDT 2009,NO_QUERY,CaitFae,@rockofages is owning twitter right now 
4,1770651471,Mon May 11 21:53:13 PDT 2009,NO_QUERY,alianari,did my first scuba dive and saw my first sear turtle 
4,1933073098,Tue May 26 22:55:39 PDT 2009,NO_QUERY,sintija_happy,this friday my school ends and i will have 3 free months. I don't now what i will do 
0,2064579505,Sun Jun 07 06:38:58 PDT 2009,NO_QUERY,cricohermoso,"coach didn't field me in, and we lost. bah. anyway, resting now, i'm having signs of my tension headache again. "
0,1824840331,Sun May 17 03:10:16 PDT 2009,NO_QUERY,bazmeister,@anna_samara I would but their balcony is quite high... 
0,2194768258,Tue Jun 16 10:14:09 PDT 2009,NO_QUERY,vivorange322,Hope I'm not catching what Alex has! Sore throat and pains in stomach. I know something is going around 
4,1468007320,Mon Apr 06 23:13:46 PDT 2009,NO_QUERY,KarenTweet,@ColorBakery http://twurl.cc/qs4 Try this page 
0,1685234562,Sat May 02 23:33:30 PDT 2009,NO_QUERY,KidNovice,"@Ayvii u want warm? Im hotter than an STD.... wait, that sounds better when i thought about sayin it "
0,2197215158,Tue Jun 16 13:29:39 PDT 2009,NO_QUERY,PatinaTeeny,@candyfogglez  Noo  my father doesnt wanna gooooooo I'm sooo freakin' agervated! I  cant take it i have to be there or else i'll die!
0,2254337143,Sat Jun 20 09:35:37 PDT 2009,NO_QUERY,mwclarkson,@dominic_mcg Bleh - Windows only. 
0,2058827714,Sat Jun 06 15:42:25 PDT 2009,NO_QUERY,lisa_x,i be feeling sick  too many sweets at joannes lol xx
0,2295866748,Tue Jun 23 08:28:31 PDT 2009,NO_QUERY,Maggs1972,"I have a headache. Seriously, it hurts "
4,2183931857,Mon Jun 15 15:10:57 PDT 2009,NO_QUERY,CocaBeenSlinky,@Mum_of_Six gnight  xx
0,2235419302,Fri Jun 19 01:10:03 PDT 2009,NO_QUERY,steframos,"@dayat_cookie sorry to hear that.. hmm,you could still look for another job right?! Oh,i really don't know what to say to you "
0,1760032238,Sun May 10 20:30:28 PDT 2009,NO_QUERY,Guynnie,"On my way home...if I want something clean to wear tomorrow, laundry must get started...  I hate doing laundry."
4,1795855295,Thu May 14 08:29:01 PDT 2009,NO_QUERY,B9babyplanner,@TillyBeaz I gave up on twitter last night 
0,2179569187,Mon Jun 15 09:16:58 PDT 2009,NO_QUERY,Gorndt,Moooonday 
4,1823155290,Sat May 16 21:14:57 PDT 2009,NO_QUERY,sharonhayes,@ShannonCherry Yeah I'd seen the tweet &amp; just had to pass it along. Forgot what a riot Steve Martin was! 
0,2242441937,Fri Jun 19 12:11:41 PDT 2009,NO_QUERY,lachatdelarue,The circular needle set I ordered is out of stock until late next week. I was so counting on having gotten them already. 
4,2014843208,Wed Jun 03 02:52:18 PDT 2009,NO_QUERY,fellermelad,"@Buffalo_Souljaa Yeah, you're right. Bread and water to eat all that week for the family!    "
4,2185556565,Mon Jun 15 17:33:32 PDT 2009,NO_QUERY,Maari0505,I'm study for a test in thursday !   is really boriing :/
4,1976367303,Sat May 30 17:10:21 PDT 2009,NO_QUERY,reneritchie,"@Nguyen I've still got a Jornada, should we start a museum? "
0,1883510471,Fri May 22 08:39:59 PDT 2009,NO_QUERY,JessicaLynnCan,Ohhh I hate mornings   Going to school shorty...yayyy friday!
4,2016897009,Wed Jun 03 07:32:08 PDT 2009,NO_QUERY,Kimtackett,"@groverthomas re:65 I did the math and guessed, but you do seem kind of ageless. You're wise and silly at the same time. A tad confusing "
4,1979943251,Sun May 31 05:06:53 PDT 2009,NO_QUERY,OldWorldLimited,Congrats to @ConsumerQueen - she is the WINNER of our Free T Friday contest   I will DM you for details.
0,2056874414,Sat Jun 06 11:57:31 PDT 2009,NO_QUERY,exxdee,it looks like it's going 2 rain outside 
4,1825241603,Sun May 17 04:56:57 PDT 2009,NO_QUERY,bruhserradela,in the next time who knows 
4,1691941278,Sun May 03 18:56:26 PDT 2009,NO_QUERY,Kpotts22,man I love Chinese food!! 
0,2003046233,Tue Jun 02 05:45:49 PDT 2009,NO_QUERY,flipsideoftcoin,Damn! Damn! Damn! just realised can't shop online - won't get delivered today!  
4,1999991192,Mon Jun 01 21:11:56 PDT 2009,NO_QUERY,xokristinaxo,@lendmeyoureyez yes!! course!! 
4,1996784420,Mon Jun 01 15:41:08 PDT 2009,NO_QUERY,heatherdamico,@MissNatalieLynn Thanks! I'm almost done! Ahhh cannot wait 
4,1997008054,Mon Jun 01 16:05:16 PDT 2009,NO_QUERY,Demi_Lynn,Did u tell anyone thank u today... share the love 
4,1968927349,Fri May 29 22:34:01 PDT 2009,NO_QUERY,rrcarroll,I can see Norn Iron  and how beautiful she looks on this great day. Its nice to be coming home.
