annotation_id,annotator,created_at,date,flag,id,lead_time,sentiment,target,text,updated_at,user
4,1,2024-08-25T14:34:09.025334Z,Sat May 09 23:36:53 PDT 2009,NO_QUERY,1752964352,18.907,Neutral,0,@CuzImSOOOCool - I haven't been watching basketball lately every since The Bulls lost.  I just hope The Lakers aren't winning.,2024-08-25T14:34:09.025334Z,MissSunshine88
3,1,2024-08-25T14:34:07.189764Z,Wed Jun 17 00:44:08 PDT 2009,NO_QUERY,2203868964,6.254,Negative,0,I'm freakin the fuck out maaannn....... ,2024-08-25T14:34:07.189764Z,kscerini
2,1,2024-08-25T14:34:04.178149Z,Sat May 30 16:12:12 PDT 2009,NO_QUERY,1975926613,10.454,Negative,0,@AlehM ahnem  prefiro house e grey's anatomy!,2024-08-25T14:34:04.178149Z,brunohm
1,1,2024-08-25T14:34:00.211019Z,Wed Jun 17 17:40:22 PDT 2009,NO_QUERY,2215098573,6.063,Neutral,0,Im disappointed in the iphone update. It added two little things..big woohoo! ,2024-08-25T14:34:00.211517Z,wecantdrive55
5,1,2024-08-25T14:34:33.544917Z,Sat Jun 20 04:47:19 PDT 2009,NO_QUERY,2251857687,16.625,Neutral,0,=-surfing net. want to eat chocolates!!!! ,2024-08-25T14:34:33.544917Z,FaithDiao
6,1,2024-08-25T14:34:38.271985Z,Sat Jun 06 22:51:23 PDT 2009,NO_QUERY,2062302556,3.693,Negative,0,disappointed. ,2024-08-25T14:34:38.271985Z,misskimkim
7,1,2024-08-25T14:34:49.661997Z,Sun May 31 06:59:42 PDT 2009,NO_QUERY,1980525916,10.449,Neutral,4,"Up and aboot, hanging out with the puppies and lightrooming more photo's. I think I here Wifey movin' aboot too ",2024-08-25T14:34:49.661997Z,gpaakkonen
8,1,2024-08-25T14:34:55.427100Z,Thu Jun 25 04:21:07 PDT 2009,NO_QUERY,2324917370,4.776,Negative,0,i am worried about my dad ,2024-08-25T14:34:55.427100Z,laposeidon
9,1,2024-08-25T14:35:00.315606Z,Fri May 29 12:57:37 PDT 2009,NO_QUERY,1963593339,4.08,Neutral,0,@michvs i wanna go home  x,2024-08-25T14:35:00.315606Z,LexiStarGirl
10,1,2024-08-25T14:35:09.275008Z,Fri May 29 19:08:20 PDT 2009,NO_QUERY,1967193341,8.167,Positive,4,Just got home. Bought some furniture for my room. Yay! Now for some relaxation ,2024-08-25T14:35:09.275008Z,talyaxo
