Symbol,Company_name,Price,Change_abs,Change_rel,Volume,Avg_vol_3M,Market_cap,PE_ratio_TTM,Wk_change_rel
SNAP,Snap Inc.,9.36,3.45,0.2693,105179000.000,21867000.000,15533000000.000,0,-0.1145
INTC,Intel Corporation,21.48,7.57,0.2606,296704000.000,52010000.00,91848000000.000,89.50,-0.3903
TWST,Twist Bioscience Corporation,42.97,10.08,0.19,3733000.000,1142000.000,2502000000.000,0,0.8093
OLED,Universal Display Corporation,172.28,40.39,0.1899,1254000.000,371032,8175000000.000,36.97,0.0467
GTLS,"Chart Industries, Inc.",126.01,27.84,0.181,2100000.0,492932,5394000000.000,56.25,-0.2306
TEAM,Atlassian Corporation,143.68,29.56,0.1706,8349000.000,1709000.000,37400000000.0,0,-0.2575
PCOR,"Procore Technologies, Inc.",56.78,10.44,0.1553,15373000.000,1663000.000,8308000000.000,0,-0.1227
TROX,Tronox Holdings plc,13.31,2.33,0.149,3585000.000,1145000.000,2102000000.000,0,0.0246
AL,Air Lease Corporation,41.11,6.60,0.1383,3274000.000,816493,4579000000.000,8.82,-0.0242
FORM,"FormFactor, Inc.",40.9,6.35,0.1344,2244000.000,675740,3156000000.000,26.56,0.1783
ARCB,ArcBest Corporation,105.48,16.21,0.1332,662036,281664,2499000000.000,20.09,-0.064
BECN,"Beacon Roofing Supply, Inc.",85.4,12.87,0.131,2826000.000,702332,5320000000.00,0,-0.007
ACA,"Arcosa, Inc.",79.12,11.80,0.1298,599900,230361,3860000000.00,26.20,0.0112
SEM,Select Medical Holdings Corporation,34.18,5.00,0.1276,2367000.000,682606,4444000000.000,16.35,0.1314
IRTC,"iRhythm Technologies, Inc.",73.88,10.34,0.1228,1772000.000,403046,2308000000.000,0,-0.3363
CC,The Chemours Company,20.54,2.77,0.1188,5325000.000,1287000.000,3066000000.000,27.03,-0.4498
LNC,Lincoln National Corporation,30.02,4.03,0.1184,4210000.00,1487000.000,5109000000.000,3.15,0.0857
HTGC,"Hercules Capital, Inc.",18.81,2.50,0.1173,7411000.000,997685,3054000000.000,10.51,0.0438
MOD,Modine Manufacturing Company,98.8,13.06,0.1168,1611000.000,938812,5178000000.000,32.29,1.2353
HOOD,"Robinhood Markets, Inc.",17.88,2.36,0.1166,29639000.000,18332000.000,15714000000.000,127.71,0.5767
NMR,"Nomura Holdings, Inc.",5.23,0.66,0.1121,2613000.000,778896,15974000000.000,11.62,0.3445
MUFG,"Mitsubishi UFJ Financial Group, Inc.",9.82,1.23,0.1113,4068000.000,2106000.000,118425000000.000,11.69,0.2275
SMFG,"Sumitomo Mitsui Financial Group, Inc.",12.53,1.55,0.1101,1934000.000,850996,84699000000.000,12.92,0.3634
WSC,WillScot Holdings Corporation,35.5,4.31,0.1083,6337000.000,2146000.000,6691000000.000,36.98,-0.1875
APO,"Apollo Global Management, Inc.",103.53,12.44,0.1073,8521000.000,2593000.000,58909000000.000,11.19,0.2001
CLSK,"CleanSpark, Inc.",13.48,1.61,0.1067,37499000.000,30780000.00,3072000000.000,103.69,1.6431
ABG,"Asbury Automotive Group, Inc.",235.35,28.08,0.1066,324532,183079,4748000000.000,11.96,0.0428
CAR,"Avis Budget Group, Inc.",84.44,10.06,0.1065,1126000.000,573358,3010000000.00,2.71,-0.6236
MCHP,Microchip Technology Incorporated,75.43,8.94,0.106,17443000.000,6417000.000,40469000000.000,30.05,-0.1106
SANM,Sanmina Corporation,65.01,7.70,0.1059,638591,349130,3553000000.000,16.84,0.1773
SITM,SiTime Corporation,113.52,13.18,0.104,454468,224662,2596000000.000,0,-0.1821
NXT,Nextracker Inc.,41.98,4.85,0.1036,8687000.000,4060000.00,6255000000.000,11.11,0.0304
JXN,Jackson Financial Inc.,76.14,8.74,0.103,1189000.000,678096,5807000000.000,1.96,1.337
DIOD,Diodes Incorporated,66.72,7.61,0.1024,507365,323730,3077000000.000,18.18,-0.2356
RBRK,"Rubrik, Inc.",31.05,3.53,0.1021,1165000.000,974508,5591000000.000,0,-0.1608
