Symbol,Company_name,Price,Change_abs,Change_rel,Volume,Avg_vol_3M,Market_cap,PE_ratio_TTM,Wk_change_rel
BRK-B,Berkshire Hathaway Inc.,428.36,3.45,0.008,4195000.000,3632000.000,922576000000.000,12.62,0.1814
BRK-A,Berkshire Hathaway Inc.,641435,5565.00,0.0086,1832,6393,922576000000.000,12.61,0.1622
SAVA,"Cassava Sciences, Inc.",29.11,5.62,0.2393,8034000.000,2476000.000,1397000000.000,0,0.5361
HE,"Hawaiian Electric Industries, Inc.",16.06,0.64,0.0383,2895000.000,4003000.000,1771000000.000,9.50,-0.5701
BEP,Brookfield Renewable Partners L.P.,24.06,0.13,0.0054,401351,428201,15789000000.000,0,-0.0985
LOW,"Lowe's Companies, Inc.",240.42,0.94,0.0039,2258000.000,2622000.000,137000000000,19.23,0.0767
MPW,"Medical Properties Trust, Inc.",4.71,0.0800,0.0173,12609000.000,15591000.000,2826000000.000,0,-0.5337
AGEN,Agenus Inc.,5.63,0.34,0.057,655397,829504,118226000.000,0.49,-0.793
ZVRA,"Zevra Therapeutics, Inc.",6.3,0,0,1061000.000,406475,263677000.000,0,0.2963
PARA,Paramount Global,11,0.11,0.0099,8664000.000,14773000.000,7801000000.000,0,-0.3163
KO,The Coca-Cola Company,69.33,1.37,0.0202,18522000.000,11586000.000,298803000000.000,28.18,0.133
CB,Chubb Limited,271.32,0.63,0.0023,1021000.000,1499000.000,109595000000.000,11.48,0.3364
MA,Mastercard Incorporated,462.02,0.39,0.0008,3090000.00,2562000.000,426830000000.00,35.32,0.1642
PG,The Procter & Gamble Company,170.08,4.39,0.0265,9325000.000,6291000.000,400896000000.000,28.25,0.0839
BX,Blackstone Inc.,133.05,3.98,0.029,4132000.000,3366000.000,162507000000.000,50.78,0.2802
EPD,Enterprise Products Partners L.P.,28.48,0.08,0.0028,7582000.000,3823000.000,61846000000.000,10.87,0.0755
KMI,"Kinder Morgan, Inc.",20.68,0.39,0.0185,16099000.000,14224000.000,45898000000.000,18.97,0.1899
SGMO,"Sangamo Therapeutics, Inc.",0.8712,0.1664,0.2361,19903000.000,11187000.000,180783000.000,0,-0.2564
ABT,Abbott Laboratories,111.31,1.16,0.0105,9773000.000,6730000.00,193668000000.000,35.11,0.0264
TGTX,"TG Therapeutics, Inc.",18.5,0.43,0.0227,2450000.00,2614000.000,2859000000.000,61.67,0.8317
GLW,Corning Incorporated,38.94,1.10,0.0275,5527000.000,8198000.000,33321000000.000,76.35,0.1761
RTX,RTX Corporation,116.44,0.30,0.0026,3821000.000,6297000.000,154893000000.000,67.70,0.3623
HD,"The Home Depot, Inc.",355.43,3.15,0.0088,2953000.000,3493000.000,352449000000.000,23.81,0.0798
CSCO,"Cisco Systems, Inc.",46.66,0.73,0.0154,21750000.00,20111000.000,187984000000.000,15.76,-0.1198
DUK,Duke Energy Corporation,113.92,1.32,0.0117,4004000.000,2817000.000,87920000000.00,20.38,0.2706
AGNC,AGNC Investment Corp.,10.06,0.02,0.002,26022000.000,13220000.00,7707000000.000,10.59,0.009
MRK,"Merck & Co., Inc.",115.2,1.38,0.0121,16557000.000,9279000.000,291780000000.00,21.33,0.0859
NEP,"NextEra Energy Partners, LP",25.94,0.40,0.0152,1730000.00,1587000.000,2426000000.000,16.84,-0.4785
V,Visa Inc.,266.58,0.65,0.0024,7006000.000,8304000.000,518733000000.000,28.57,0.1038
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",630.5,11.50,0.0179,523366,339113,320708000000.000,22.57,-0.2287
ENB,Enbridge Inc.,37.96,0.36,0.0096,9282000.000,4999000.000,80706000000.000,20.19,0.0547
COP,ConocoPhillips,105.77,2.62,0.0242,6138000.000,6074000.000,122825000000.000,11.98,-0.0761
SO,The Southern Company,88.58,1.01,0.0115,6011000.000,4199000.000,96957000000.000,21.14,0.3023
APA,APA Corporation,28.59,2.49,0.0801,8439000.000,5469000.000,10576000000.000,3.09,-0.322
AMGN,Amgen Inc.,333.99,1.54,0.0046,2091000.000,2281000.000,179164000000.000,47.64,0.3204
IEP,Icahn Enterprises L.P.,17.1,0.42,0.024,767809,681056,8065000000.000,0,-0.2773
VST,Vistra Corp.,72.43,3.61,0.0475,9360000.00,9097000.000,25167000000.000,44.44,1.5237
BP,BP p.l.c.,34.08,0.68,0.0196,9870000.00,7364000.000,96112000000.000,13.21,-0.0799
NEE,"NextEra Energy, Inc.",79.2,0.81,0.0103,12161000.000,11448000.000,162784000000.000,25.80,0.1538
RIO,Rio Tinto Group,63.67,0.18,0.0028,3891000.000,2360000.00,104435000000.000,9.68,-0.0059
GERN,Geron Corporation,4.57,0.2100,0.0439,13976000.000,11472000.000,2711000000.000,0,0.5651
LUV,Southwest Airlines Co.,25.05,1.31,0.0497,11011000.000,10161000.000,15009000000.000,192.69,-0.2402
FCX,Freeport-McMoRan Inc.,41.97,1.66,0.038,15464000.000,12767000.000,60289000000.000,31.32,-0.0076
VICI,VICI Properties Inc.,31.5,0.16,0.0051,6122000.000,6187000.000,32986000000.000,12.35,0.007
